participant,total_keystrokes,wpm_estimate,hold_mean,hold_std,hold_cv,dd_mean,dd_std,dd_cv,dd_skew,dd_kurtosis,ud_mean,ud_std,overlap_ratio,dd_iqr
p024,5068,78.43137254901961,0.11026519337016574,0.036035450552048646,0.32680712245319216,0.19312194159431728,0.19115793149656835,0.9898302073729424,15.538245616877214,478.4104497416053,0.08285674822415154,0.1946775648421098,0.22454617205998423,0.09999999999999999
p025,5102,61.855670103092784,0.07887926303410428,0.06668722198861858,0.8454341410338195,0.2925638965111721,0.31870172725704476,1.0893405886972607,7.802189530412339,131.9779684886351,0.21368463347706781,0.31102759268927943,0.02156017248137985,0.18
p026,5293,89.55223880597015,0.09754883808804081,0.029314486528631372,0.3005108733552945,0.20071660683922163,0.18957181478564325,0.9444749877497401,3.1693968005013757,17.30941667301764,0.1031677687511808,0.19056808845691747,0.306442471188362,0.14
p027,5051,71.00591715976331,0.08172797465848347,0.028667849440112195,0.35077156334665693,0.2164622846960998,0.1766673102975454,0.8161574684734385,5.849003094698142,66.55224523812598,0.13473431003761632,0.17705090695133738,0.05484062561868937,0.098
p028,5065,64.51612903225806,0.12781085883514312,0.04151467888527012,0.32481339428927414,0.22963514313919053,0.23642415500788644,1.0295643418332558,15.564881833731388,423.92530573215976,0.10182428430404739,0.23841874496117227,0.2381046396841066,0.129
p029,5489,55.55555555555556,0.09746912005829843,0.0538038038661606,0.5520087165450894,0.3561816359992713,0.3895783986575781,1.093763291767168,6.118936564537152,86.05955064356486,0.2587125159409729,0.38528670611543847,0.006012024048096192,0.224
p030,5220,51.50214592274678,0.08992298850574713,0.025467685348436304,0.2832166253772653,0.32859501915708816,0.2837173345744221,0.8634255482697631,5.602098214298432,78.40111267182195,0.238672030651341,0.28368063002233834,0.01206896551724138,0.20925
p031,5133,54.054054054054056,0.15336606273134618,0.5535567288537476,3.6093821474925756,0.34770017533606074,0.8470221064789045,2.4360704036465797,-0.21009910486283445,56.661472199728365,0.19433411260471462,0.6475900359308825,0.03526203000194818,0.279
p032,4740,45.197740112994346,0.08907067510548523,0.024936709605191853,0.2799654271808279,0.3712208860759494,0.30225387767467465,0.8142157109469198,5.211577508424324,62.28159864056978,0.28215021097046417,0.30410987766523084,0.0014767932489451476,0.20325000000000001
p033,5792,100.84033613445379,0.08549602900552486,0.028058434685122785,0.32818406903213704,0.13847790055248618,0.14537479840135636,1.0498050434138118,27.591400296250285,1432.1568940364184,0.05298187154696132,0.1451198857114069,0.35911602209944754,0.103
p034,5296,72.72727272727272,0.11149565709969789,0.026905001624076455,0.2413098619618733,0.2316620090634441,0.25781616855780215,1.1128979222795021,11.549086576147586,306.15663282578544,0.12016635196374621,0.2586532851074363,0.2345166163141994,0.11500000000000002
p035,5742,56.33802816901409,0.0686760710553814,0.051585422603153734,0.7511411443667844,0.3455579937304075,0.3650465612028624,1.056397385753024,6.474247814463569,106.54911441868349,0.27688192267502615,0.36288302697076974,0.03587600139324277,0.23600000000000002
p036,5162,69.36416184971098,0.10588744672607517,0.03189791775114349,0.3012436198755615,0.2469103060829136,0.23393919650135733,0.9474663095788314,3.3098644946594487,14.81295925425421,0.14102285935683845,0.2351854105803633,0.14722975590856258,0.1235
p037,5710,50.0,0.1314506129597198,0.24865794817842135,1.891645406435778,0.36925341506129594,0.4816987278824615,1.3045207118869826,5.331081563782786,96.75620858092009,0.2378028021015762,0.4038001670058004,0.02907180385288967,0.23299999999999998
p038,5390,88.23529411764706,0.09818126159554731,0.2719311179697646,2.769684495295761,0.16155677179962896,0.4417664141743804,2.7344345226350635,-0.2567027834885833,260.85634944556176,0.06337551020408164,0.3408489036633017,0.21354359925788496,0.089
p039,5767,103.44827586206895,0.11152592335703138,0.3951185778703604,3.5428406775477286,0.13630275706606554,0.6176016954412938,4.531102002154981,-1.7545378279192994,151.0828313758167,0.02477683370903416,0.470620117654721,0.341945552280215,0.09200000000000001
p040,5195,88.88888888888889,0.12902945139557268,0.5027354936807787,3.8962848267835795,0.15448777670837344,0.7401424721539898,4.790945199186575,-0.010144044417536583,96.58305029328353,0.02545832531280077,0.5329626438789071,0.2694898941289702,0.07799999999999999
p041,5068,38.70967741935484,0.07216239147592739,0.03441092806021832,0.476854042062859,0.4754244277821626,0.5330303587436456,1.1211673771796145,7.648048616972683,97.99925418197927,0.4032620363062352,0.5330978750551847,0.0029597474348855564,0.359
p042,5420,101.69491525423729,0.12055608856088561,0.4023875588850906,3.337762229087825,0.13507619926199263,0.6409098328370534,4.74480209199513,-2.1504550236549216,141.47490097737847,0.01452011070110701,0.4952811561718913,0.3723247232472325,0.084
p043,5359,103.44827586206895,0.1339923493189028,0.04073910447598754,0.30404052681417015,0.14493506251166263,0.16269696329893632,1.1225507512086277,33.78033387377908,1843.457181281945,0.010942713192759844,0.16328027610619,0.6051502145922747,0.07900000000000001
p044,5162,88.23529411764706,0.11844866330879504,0.36324505361816256,3.0666876558259215,0.18012301433552885,0.5425572185290762,3.012148228423568,0.7623624280846664,182.31106104506043,0.061674351026733826,0.39911557319178564,0.309376210771019,0.10400000000000001
p045,6221,71.8562874251497,0.08629512940041793,0.29347744703810447,3.4008576043305987,0.219809516154959,0.46914237400418,2.134313300946662,-1.265142206069685,264.9049835288503,0.13351438675454105,0.36650176584423616,0.021700691207201413,0.128
p046,5182,76.43312101910828,0.08425974527209572,0.02066248089524895,0.2452236335218513,0.20934581242763411,0.21691605217948812,1.0361614099850742,14.286212226584615,444.6911045937521,0.1250860671555384,0.2169906189302536,0.061752219220378234,0.09799999999999999
p047,5694,102.56410256410255,0.08528907622058307,0.027012726020097876,0.3167196459044168,0.1447256761503337,0.11208364256658349,0.7744558225463509,3.4749320671321193,21.00942785543455,0.059436599929750616,0.10986315890998075,0.23674042852125043,0.081
p048,5713,68.18181818181819,0.094733590057763,0.023068997879777044,0.2435144478923567,0.2310267810257308,0.18422345961132788,0.7974117060948431,3.685816498249985,29.441576095682183,0.1362931909679678,0.18347237783592643,0.10169788202345528,0.132
p049,6467,60.91370558375634,0.10798329982990568,0.03599919706544698,0.33337744931070445,0.24178738209370648,0.17571492015719334,0.7267332092999538,5.225797672228676,106.2229469500614,0.13380408226380083,0.1752201737984045,0.18014535333230247,0.183
p050,5422,55.29953917050691,0.10562172630025822,0.0408137959516374,0.3864147782967791,0.31221689413500553,0.29851001970383817,0.9560982295043876,8.03645319410674,161.47361328302344,0.20659516783474735,0.3011338134168786,0.09609000368867576,0.216
p051,5709,68.18181818181819,0.08295375722543352,0.025663698126448836,0.30937354720058863,0.2498656507269224,0.35544235198427243,1.4225338735044235,14.227379007662076,292.10354568463976,0.16691189350148888,0.35440141572691536,0.07549483272026625,0.15200000000000002
p052,5391,78.94736842105263,0.0912680393248006,0.240930988696209,2.6398177333337314,0.17038527174921164,0.4104890076221106,2.409181283146972,-3.7671102123806155,293.3224968628641,0.07911723242441106,0.3263897393450679,0.10981265071415322,0.081
p053,4902,54.54545454545455,0.09688249694002449,0.18968044752337054,1.957840203486843,0.4118115055079559,0.687231634079836,1.6688014416502501,2.6908674061641022,71.61865630957044,0.31492900856793143,0.6591740631119299,0.03590371277029784,0.29900000000000004
p054,5855,58.53658536585366,0.14209564474807856,0.0624447640291274,0.43945586185865043,0.3010404782237404,0.33044727052948514,1.097683847963755,8.456054038563433,144.1397408128866,0.15894483347566182,0.33398332056913094,0.2664389410760034,0.2035
p055,5235,66.29834254143647,0.12655510983763132,0.059062551200410256,0.4666943221509328,0.2351235912129895,0.1929669425878273,0.8207043010542732,7.629754582285065,149.10942315940923,0.10856848137535817,0.19718681131223914,0.19598853868194843,0.11800000000000002
p056,5443,71.00591715976331,0.06616773837957009,0.02798738971188394,0.42297636880581874,0.21162630902076063,0.16911294060478554,0.7991111378698942,4.010588049236702,25.299272660951566,0.14545857064119053,0.16826987247584038,0.020209443321697593,0.091
p057,5210,80.0,0.1330510556621881,0.20022968401790722,1.5049086459432766,0.18634836852207293,0.39776300009527515,2.134512919270128,-1.2598055988697283,285.30165796131934,0.05329731285988483,0.34203831167622956,0.4040307101727447,0.11199999999999999
p058,5287,61.53846153846153,0.13652525061471532,0.28001637849340816,2.051022629386234,0.2531373179496879,0.48097715015996984,1.9000641788247359,-1.5253655284356955,235.1473041786433,0.11661206733497258,0.3914892869241893,0.16304142235672403,0.16599999999999998
p059,5543,66.66666666666667,0.10466714775392386,0.04738257130468846,0.4526976450728025,0.26745192134223345,0.23430535899061547,0.8760653421920875,2.6712219958008308,13.278159476298498,0.1627847735883096,0.23496102713408373,0.13981598412412052,0.17099999999999999
p060,5720,66.66666666666667,0.0741305944055944,0.04765800502073313,0.6428925250481532,0.27006223776223776,0.2755531897570222,1.020332172466181,8.32264560018776,195.26605054333592,0.19593164335664337,0.27261293229365025,0.014160839160839161,0.13324999999999998
p061,5225,62.5,0.12712057416267944,0.0473804816137945,0.3727207961880382,0.2610597129186603,0.32394541686920136,1.2408862832471392,15.179626397169086,339.08313189985176,0.13393913875598085,0.32267678139874334,0.17626794258373205,0.13600000000000004
